ID_Evento;Date;Time;League;Home;Away;Odd_Under05_HT_Back;Odd_Under05_HT_Lay;Odd_Over05_HT_Back;Odd_Over05_HT_Lay;Odd_Under15_HT_Back;Odd_Under15_HT_Lay;Odd_Over15_HT_Back;Odd_Over15_HT_Lay;Odd_Under25_HT_Back;Odd_Under25_HT_Lay;Odd_Over25_HT_Back;Odd_Over25_HT_Lay;Odd_H_Back;Odd_H_Lay;Odd_A_Back;Odd_A_Lay;Odd_D_Back;Odd_D_Lay;Odd_1X_Back;Odd_1X_Lay;Odd_X2_Back;Odd_X2_Lay;Odd_12_Back;Odd_12_Lay;Odd_Under05_FT_Back;Odd_Under05_FT_Lay;Odd_Over05_FT_Back;Odd_Over05_FT_Lay;Odd_Under15_FT_Back;Odd_Under15_FT_Lay;Odd_Over15_FT_Back;Odd_Over15_FT_Lay;Odd_Under25_FT_Back;Odd_Under25_FT_Lay;Odd_Over25_FT_Back;Odd_Over25_FT_Lay;Odd_Under35_FT_Back;Odd_Under35_FT_Lay;Odd_Over35_FT_Back;Odd_Over35_FT_Lay;Odd_Under45_FT_Back;Odd_Under45_FT_Lay;Odd_Over45_FT_Back;Odd_Over45_FT_Lay;Odd_BTTS_Yes_Back;Odd_BTTS_Yes_Lay;Odd_BTTS_No_Back;Odd_BTTS_No_Lay;Odd_CS_0x0_Back;Odd_CS_0x0_Lay;Odd_CS_0x1_Back;Odd_CS_0x1_Lay;Odd_CS_0x2_Back;Odd_CS_0x2_Lay;Odd_CS_0x3_Back;Odd_CS_0x3_Lay;Odd_CS_1x0_Back;Odd_CS_1x0_Lay;Odd_CS_1x1_Back;Odd_CS_1x1_Lay;Odd_CS_1x2_Back;Odd_CS_1x2_Lay;Odd_CS_1x3_Back;Odd_CS_1x3_Lay;Odd_CS_2x0_Back;Odd_CS_2x0_Lay;Odd_CS_2x1_Back;Odd_CS_2x1_Lay;Odd_CS_2x2_Back;Odd_CS_2x2_Lay;Odd_CS_2x3_Back;Odd_CS_2x3_Lay;Odd_CS_3x0_Back;Odd_CS_3x0_Lay;Odd_CS_3x1_Back;Odd_CS_3x1_Lay;Odd_CS_3x2_Back;Odd_CS_3x2_Lay;Odd_CS_3x3_Back;Odd_CS_3x3_Lay;Odd_CS_Goleada_H_Back;Odd_CS_Goleada_H_Lay;Odd_CS_Goleada_A_Back;Odd_CS_Goleada_A_Lay;Odd_CS_Goleada_D_Back;Odd_CS_Goleada_D_Lay
35459410;2026-04-20;15:45:00;ITALY 1;Lecce;Fiorentina;2.86;2.94;1.52;1.54;1.38;1.4;3.5;3.6;1.09;1.1;11.0;12.0;3.75;3.8;2.24;2.28;3.4;3.45;1.78;1.8;1.35;1.37;1.4;1.42;10.0;11.0;1.1;1.11;3.15;3.25;1.44;1.46;1.74;1.75;2.32;2.36;1.27;1.29;4.5;4.7;1.1;1.11;10.5;11.0;2.0;2.04;1.96;2.0;10.0;11.0;7.8;8.2;18.5;20.0;70.0;75.0;11.0;11.5;23.0;25.0;10.5;11.5;46.0;50.0;7.2;7.4;14.5;15.5;12.0;13.0;55.0;65.0;100.0;130.0;40.0;46.0;25.0;26.0;27.0;29.0;55.0;65.0;22.0;24.0;310.0;1000.0
35399540;2026-04-20;16:00:00;ENGLAND 1;Crystal Palace;West Ham;3.3;3.35;1.43;1.44;1.5;1.52;2.94;2.98;1.13;1.14;8.0;8.8;2.66;2.68;2.96;2.98;3.4;3.45;1.5;1.51;1.59;1.6;1.4;1.42;14.0;14.5;1.07;1.08;4.0;4.2;1.31;1.33;2.02;2.04;1.97;1.98;1.4;1.42;3.35;3.45;1.15;1.17;7.0;7.4;1.76;1.77;2.3;2.32;13.5;14.0;11.5;12.0;15.0;15.5;34.0;38.0;11.0;11.5;17.0;17.5;12.5;13.0;25.0;26.0;7.4;7.6;11.5;12.0;18.5;19.5;34.0;36.0;65.0;70.0;36.0;40.0;29.0;30.0;42.0;46.0;20.0;22.0;25.0;27.0;330.0;390.0
35487641;2026-04-20;16:15:00;PORTUGAL 1;Moreirense;Estoril Praia;3.35;3.55;1.39;1.41;1.51;1.54;2.86;2.96;1.13;1.15;7.6;8.8;3.25;3.3;2.36;2.42;3.6;3.65;1.71;1.73;1.43;1.45;1.37;1.39;15.0;15.5;1.07;1.08;4.3;4.5;1.29;1.31;2.1;2.16;1.87;1.91;1.43;1.46;3.2;3.3;1.16;1.18;6.4;7.0;1.7;1.75;2.34;2.44;14.5;15.5;10.0;11.5;14.0;16.0;50.0;55.0;13.0;14.0;21.0;22.0;10.5;11.0;32.0;34.0;7.6;8.0;12.5;13.5;14.5;16.0;38.0;42.0;65.0;75.0;32.0;36.0;22.0;24.0;29.0;32.0;27.0;30.0;15.5;17.0;100.0;1000.0
