ID_Evento;Date;Time;League;Home;Away;Odd_Under05_HT_Back;Odd_Under05_HT_Lay;Odd_Over05_HT_Back;Odd_Over05_HT_Lay;Odd_Under15_HT_Back;Odd_Under15_HT_Lay;Odd_Over15_HT_Back;Odd_Over15_HT_Lay;Odd_Under25_HT_Back;Odd_Under25_HT_Lay;Odd_Over25_HT_Back;Odd_Over25_HT_Lay;Odd_H_Back;Odd_H_Lay;Odd_A_Back;Odd_A_Lay;Odd_D_Back;Odd_D_Lay;Odd_1X_Back;Odd_1X_Lay;Odd_X2_Back;Odd_X2_Lay;Odd_12_Back;Odd_12_Lay;Odd_Under05_FT_Back;Odd_Under05_FT_Lay;Odd_Over05_FT_Back;Odd_Over05_FT_Lay;Odd_Under15_FT_Back;Odd_Under15_FT_Lay;Odd_Over15_FT_Back;Odd_Over15_FT_Lay;Odd_Under25_FT_Back;Odd_Under25_FT_Lay;Odd_Over25_FT_Back;Odd_Over25_FT_Lay;Odd_Under35_FT_Back;Odd_Under35_FT_Lay;Odd_Over35_FT_Back;Odd_Over35_FT_Lay;Odd_Under45_FT_Back;Odd_Under45_FT_Lay;Odd_Over45_FT_Back;Odd_Over45_FT_Lay;Odd_BTTS_Yes_Back;Odd_BTTS_Yes_Lay;Odd_BTTS_No_Back;Odd_BTTS_No_Lay;Odd_CS_0x0_Back;Odd_CS_0x0_Lay;Odd_CS_0x1_Back;Odd_CS_0x1_Lay;Odd_CS_0x2_Back;Odd_CS_0x2_Lay;Odd_CS_0x3_Back;Odd_CS_0x3_Lay;Odd_CS_1x0_Back;Odd_CS_1x0_Lay;Odd_CS_1x1_Back;Odd_CS_1x1_Lay;Odd_CS_1x2_Back;Odd_CS_1x2_Lay;Odd_CS_1x3_Back;Odd_CS_1x3_Lay;Odd_CS_2x0_Back;Odd_CS_2x0_Lay;Odd_CS_2x1_Back;Odd_CS_2x1_Lay;Odd_CS_2x2_Back;Odd_CS_2x2_Lay;Odd_CS_2x3_Back;Odd_CS_2x3_Lay;Odd_CS_3x0_Back;Odd_CS_3x0_Lay;Odd_CS_3x1_Back;Odd_CS_3x1_Lay;Odd_CS_3x2_Back;Odd_CS_3x2_Lay;Odd_CS_3x3_Back;Odd_CS_3x3_Lay;Odd_CS_Goleada_H_Back;Odd_CS_Goleada_H_Lay;Odd_CS_Goleada_A_Back;Odd_CS_Goleada_A_Lay;Odd_CS_Goleada_D_Back;Odd_CS_Goleada_D_Lay
35458357;2026-04-17;13:30:00;ITALY 1;Sassuolo;Como;3.6;3.75;1.37;1.39;1.56;1.59;2.72;2.76;1.15;1.16;7.2;7.6;6.4;6.6;1.6;1.61;4.4;4.5;2.62;2.68;1.17;1.19;1.28;1.3;17.5;18.0;1.06;1.07;4.7;4.9;1.25;1.27;2.24;2.28;1.79;1.81;1.49;1.5;3.0;3.1;1.19;1.2;6.0;6.4;1.89;1.93;2.08;2.14;17.0;18.0;9.2;9.6;19.5;21.0;50.0;200.0;20.0;23.0;48.0;55.0;9.6;10.0;70.0;85.0;9.4;9.8;21.0;23.0;9.0;9.2;65.0;80.0;95.0;110.0;30.0;34.0;13.5;14.5;13.5;14.5;80.0;100.0;7.0;7.8;140.0;1000.0
35458382;2026-04-17;15:30:00;GERMANY 1;St Pauli;FC Koln;3.05;3.15;1.46;1.48;1.44;1.46;3.2;3.25;1.11;1.12;9.4;9.8;3.05;3.1;2.58;2.6;3.4;3.45;1.62;1.64;1.47;1.49;1.4;1.42;12.0;13.0;1.08;1.09;3.65;3.75;1.36;1.38;1.91;1.92;2.08;2.1;1.33;1.35;3.9;4.0;1.12;1.14;8.4;9.0;1.83;1.85;2.16;2.2;12.0;12.5;9.8;10.5;16.5;17.5;42.0;48.0;11.0;11.5;19.0;20.0;11.0;12.0;32.0;36.0;7.0;7.4;12.0;13.0;15.0;16.0;44.0;48.0;80.0;100.0;38.0;42.0;27.0;29.0;32.0;36.0;30.0;36.0;23.0;25.0;60.0;1000.0
35458362;2026-04-17;15:45:00;FRANCE 1;Lens;Toulouse;3.75;3.95;1.34;1.37;1.6;1.64;2.58;2.68;1.16;1.18;6.6;7.2;1.53;1.54;6.8;7.2;4.8;4.9;1.16;1.17;2.84;2.9;1.25;1.27;19.0;21.0;1.05;1.06;5.0;5.2;1.23;1.25;2.36;2.4;1.71;1.73;1.53;1.55;2.82;2.9;1.22;1.23;5.5;5.6;1.87;1.9;2.1;2.16;19.0;21.0;22.0;25.0;19.5;21.0;12.5;13.5;9.2;9.6;8.8;9.4;23.0;25.0;13.5;15.0;10.0;10.5;9.4;9.8;50.0;60.0;28.0;32.0;90.0;100.0;70.0;80.0;75.0;90.0;46.0;190.0;6.4;6.8;85.0;110.0;120.0;1000.0
35458343;2026-04-17;15:45:00;ITALY 1;Inter;Cagliari;4.1;4.3;1.3;1.33;1.66;1.7;2.42;2.52;1.18;1.2;6.0;6.6;1.27;1.28;14.5;15.0;6.6;6.8;1.07;1.08;4.6;4.7;1.17;1.18;24.0;26.0;1.04;1.05;5.7;5.9;1.2;1.22;2.56;2.6;1.62;1.64;1.61;1.63;2.6;2.64;1.24;1.26;4.8;5.1;2.24;2.32;1.76;1.8;23.0;27.0;42.0;46.0;30.0;38.0;8.4;9.2;8.6;9.4;6.8;7.6;44.0;50.0;13.0;14.0;13.5;15.5;10.5;11.0;44.0;130.0;38.0;44.0;100.0;220.0;46.0;200.0;50.0;300.0;22.0;1000.0;4.1;4.4;75.0;380.0;130.0;1000.0
35481066;2026-04-17;16:45:00;PORTUGAL 1;Rio Ave;AVS Futebol SAD;3.0;110.0;1.01;1.5;1.28;1000.0;1.01;1000.0;1.09;110.0;1.01;110.0;1.74;1.77;5.1;5.5;4.0;4.2;1.22;1.25;2.28;2.36;1.31;1.34;12.0;15.5;1.07;1.08;3.8;4.1;1.33;1.36;1.98;2.04;1.97;2.02;1.36;1.4;3.5;3.8;1.14;1.16;7.2;8.6;1.92;2.04;1.98;2.1;13.0;16.5;15.5;970.0;18.0;21.0;16.0;970.0;7.4;8.4;9.2;10.5;17.0;22.0;16.5;970.0;8.0;9.0;9.0;10.0;9.8;42.0;32.0;38.0;11.5;140.0;11.0;75.0;11.0;75.0;11.5;160.0;10.5;12.0;11.5;1000.0;12.5;1000.0
