ID_Evento;Date;Time;League;Home;Away;Odd_Under05_HT_Back;Odd_Under05_HT_Lay;Odd_Over05_HT_Back;Odd_Over05_HT_Lay;Odd_Under15_HT_Back;Odd_Under15_HT_Lay;Odd_Over15_HT_Back;Odd_Over15_HT_Lay;Odd_Under25_HT_Back;Odd_Under25_HT_Lay;Odd_Over25_HT_Back;Odd_Over25_HT_Lay;Odd_H_Back;Odd_H_Lay;Odd_A_Back;Odd_A_Lay;Odd_D_Back;Odd_D_Lay;Odd_1X_Back;Odd_1X_Lay;Odd_X2_Back;Odd_X2_Lay;Odd_12_Back;Odd_12_Lay;Odd_Under05_FT_Back;Odd_Under05_FT_Lay;Odd_Over05_FT_Back;Odd_Over05_FT_Lay;Odd_Under15_FT_Back;Odd_Under15_FT_Lay;Odd_Over15_FT_Back;Odd_Over15_FT_Lay;Odd_Under25_FT_Back;Odd_Under25_FT_Lay;Odd_Over25_FT_Back;Odd_Over25_FT_Lay;Odd_Under35_FT_Back;Odd_Under35_FT_Lay;Odd_Over35_FT_Back;Odd_Over35_FT_Lay;Odd_Under45_FT_Back;Odd_Under45_FT_Lay;Odd_Over45_FT_Back;Odd_Over45_FT_Lay;Odd_BTTS_Yes_Back;Odd_BTTS_Yes_Lay;Odd_BTTS_No_Back;Odd_BTTS_No_Lay;Odd_CS_0x0_Back;Odd_CS_0x0_Lay;Odd_CS_0x1_Back;Odd_CS_0x1_Lay;Odd_CS_0x2_Back;Odd_CS_0x2_Lay;Odd_CS_0x3_Back;Odd_CS_0x3_Lay;Odd_CS_1x0_Back;Odd_CS_1x0_Lay;Odd_CS_1x1_Back;Odd_CS_1x1_Lay;Odd_CS_1x2_Back;Odd_CS_1x2_Lay;Odd_CS_1x3_Back;Odd_CS_1x3_Lay;Odd_CS_2x0_Back;Odd_CS_2x0_Lay;Odd_CS_2x1_Back;Odd_CS_2x1_Lay;Odd_CS_2x2_Back;Odd_CS_2x2_Lay;Odd_CS_2x3_Back;Odd_CS_2x3_Lay;Odd_CS_3x0_Back;Odd_CS_3x0_Lay;Odd_CS_3x1_Back;Odd_CS_3x1_Lay;Odd_CS_3x2_Back;Odd_CS_3x2_Lay;Odd_CS_3x3_Back;Odd_CS_3x3_Lay;Odd_CS_Goleada_H_Back;Odd_CS_Goleada_H_Lay;Odd_CS_Goleada_A_Back;Odd_CS_Goleada_A_Lay;Odd_CS_Goleada_D_Back;Odd_CS_Goleada_D_Lay
35512776;2026-05-03;07:30:00;ITALY 1;Bologna;Cagliari;2.96;3.1;1.47;1.51;1.39;1.43;3.3;3.55;1.09;1.11;10.0;12.0;1.9;1.91;5.0;5.2;3.6;3.65;1.24;1.25;2.08;2.12;1.37;1.39;10.5;12.0;1.09;1.11;3.35;3.45;1.41;1.43;1.77;1.8;2.24;2.3;1.29;1.31;4.3;4.5;1.1;1.12;9.6;10.5;2.04;2.1;1.91;1.97;10.5;11.0;14.0;14.5;19.5;22.0;19.0;21.0;7.2;7.6;9.6;10.5;18.0;20.0;20.0;22.0;7.4;8.0;9.8;10.5;32.0;36.0;40.0;44.0;23.0;150.0;36.0;85.0;65.0;75.0;40.0;130.0;14.5;16.0;38.0;110.0;23.0;1000.0
35512771;2026-05-03;10:00:00;FRANCE 1;Lille;Le Havre;1.01;110.0;1.01;110.0;1.48;110.0;1.01;110.0;1.1;110.0;1.01;110.0;1.43;1.44;9.8;10.5;4.9;5.1;1.11;1.12;3.25;3.35;1.24;1.26;14.5;18.0;1.06;1.08;4.1;4.3;1.3;1.33;2.04;2.12;1.89;1.97;1.4;1.44;3.3;3.5;1.16;1.18;6.8;7.4;2.2;2.24;1.8;1.84;15.0;15.5;24.0;27.0;26.0;29.0;10.5;11.5;7.2;7.6;7.2;7.8;30.0;36.0;14.5;16.0;10.0;11.0;9.4;10.5;34.0;90.0;36.0;44.0;22.0;200.0;24.0;1000.0;22.0;1000.0;21.0;430.0;6.6;7.2;23.0;250.0;23.0;1000.0
35512764;2026-05-03;10:00:00;ITALY 1;Sassuolo;AC Milan;3.55;3.8;1.36;1.39;1.55;1.6;2.68;2.82;1.15;1.17;7.0;7.8;5.1;5.2;1.75;1.77;4.1;4.3;2.28;2.34;1.23;1.25;1.3;1.33;16.5;19.0;1.05;1.07;4.6;4.8;1.26;1.28;2.22;2.3;1.77;1.82;1.47;1.5;3.0;3.1;1.19;1.21;5.9;6.4;1.76;1.81;2.24;2.32;17.0;18.5;9.2;10.0;17.0;18.5;40.0;120.0;18.5;20.0;34.0;40.0;9.2;9.6;50.0;60.0;8.6;9.2;17.5;19.5;10.0;11.5;50.0;75.0;36.0;90.0;27.0;30.0;15.5;17.5;17.0;18.5;50.0;60.0;8.6;9.6;16.5;1000.0
35512748;2026-05-03;10:30:00;GERMANY 1;St Pauli;Mainz;3.0;3.15;1.46;1.5;1.4;1.44;3.25;3.45;1.09;1.12;9.6;11.5;2.94;3.0;2.62;2.7;3.4;3.5;1.59;1.61;1.5;1.52;1.4;1.42;11.5;12.5;1.08;1.1;3.4;3.55;1.39;1.41;1.81;1.84;2.18;2.24;1.3;1.32;4.1;4.3;1.11;1.12;9.2;10.0;1.9;1.94;2.06;2.1;11.0;12.0;9.4;10.0;17.5;18.5;42.0;48.0;9.8;10.5;16.5;19.0;11.5;12.5;32.0;36.0;7.0;7.4;12.0;13.0;15.0;16.5;44.0;50.0;19.0;110.0;42.0;48.0;28.0;32.0;36.0;40.0;30.0;36.0;26.0;29.0;22.0;1000.0
35512758;2026-05-03;12:15:00;FRANCE 1;Auxerre;Angers;1.01;110.0;1.01;110.0;1.35;1.45;3.2;110.0;1.06;110.0;1.01;110.0;1.73;1.75;6.0;6.4;3.75;3.85;1.19;1.2;2.32;2.38;1.35;1.37;10.0;12.5;1.09;1.11;3.2;3.4;1.42;1.46;1.74;1.78;2.28;2.34;1.27;1.29;4.4;4.7;1.09;1.12;10.0;11.5;2.18;2.24;1.8;1.85;10.5;11.0;15.5;16.5;23.0;26.0;15.0;17.0;6.6;7.0;8.2;9.0;21.0;24.0;18.5;21.0;7.8;8.4;9.8;10.5;40.0;48.0;42.0;48.0;19.0;180.0;18.0;120.0;38.0;110.0;19.0;200.0;12.5;14.0;19.0;160.0;21.0;1000.0
35512769;2026-05-03;12:15:00;FRANCE 1;Paris FC;Brest;3.0;110.0;1.01;1.49;1.01;110.0;1.01;110.0;1.09;110.0;1.01;110.0;2.1;2.14;3.85;4.1;3.6;3.7;1.33;1.35;1.88;1.91;1.37;1.39;13.0;15.0;1.07;1.09;4.0;4.2;1.31;1.34;2.02;2.08;1.92;1.98;1.39;1.42;3.4;3.55;1.15;1.17;7.2;7.8;1.78;1.84;2.2;2.28;13.0;15.0;13.5;15.0;15.5;17.5;22.0;25.0;9.0;9.8;12.0;13.5;14.0;16.0;20.0;22.0;7.6;8.2;9.6;10.5;19.5;29.0;27.0;36.0;36.0;90.0;40.0;55.0;36.0;48.0;14.5;80.0;13.5;15.0;26.0;48.0;17.5;1000.0
35512755;2026-05-03;12:15:00;FRANCE 1;Strasbourg;Toulouse;3.0;110.0;1.01;1.49;1.01;110.0;1.01;110.0;1.11;110.0;1.01;110.0;3.0;3.1;2.44;2.48;3.7;3.8;1.67;1.69;1.48;1.5;1.35;1.38;14.5;18.0;1.06;1.07;4.2;4.6;1.28;1.31;2.14;2.18;1.85;1.87;1.43;1.46;3.15;3.35;1.16;1.19;6.4;7.0;1.71;1.76;2.32;2.42;15.5;16.0;11.0;12.5;15.0;16.0;40.0;46.0;13.0;14.0;19.0;22.0;10.5;11.5;28.0;32.0;7.6;8.2;12.0;13.0;14.5;16.5;34.0;40.0;36.0;75.0;32.0;36.0;21.0;26.0;28.0;34.0;22.0;26.0;16.0;19.5;18.5;1000.0
35512770;2026-05-03;12:30:00;GERMANY 1;Mgladbach;Dortmund;3.95;4.3;1.31;1.34;1.65;1.7;2.42;2.54;1.17;1.2;6.0;6.8;3.95;4.1;1.97;1.99;4.1;4.2;2.0;2.06;1.33;1.34;1.31;1.33;21.0;26.0;1.04;1.05;5.6;5.9;1.2;1.22;2.52;2.6;1.62;1.65;1.61;1.64;2.56;2.64;1.25;1.27;4.8;5.0;1.59;1.64;2.58;2.68;21.0;23.0;12.0;13.0;14.5;15.5;34.0;80.0;18.5;21.0;28.0;34.0;9.8;10.5;36.0;40.0;9.0;9.4;15.0;16.5;13.5;15.0;36.0;42.0;48.0;60.0;24.0;27.0;16.5;18.0;21.0;24.0;25.0;29.0;8.4;9.2;18.5;1000.0
35512757;2026-05-03;13:00:00;ITALY 1;Juventus;Verona;3.85;4.1;1.32;1.35;1.61;1.66;2.5;2.62;1.16;1.19;6.4;7.2;1.21;1.23;19.5;21.0;7.6;7.8;1.05;1.06;5.4;5.7;1.14;1.16;21.0;26.0;1.04;1.05;5.2;5.5;1.22;1.24;2.38;2.46;1.68;1.72;1.54;1.57;2.76;2.84;1.22;1.24;5.3;5.6;2.56;2.64;1.61;1.65;21.0;24.0;42.0;55.0;42.0;48.0;7.6;8.0;8.0;8.4;6.4;6.8;55.0;75.0;14.0;14.5;15.0;17.0;11.0;12.5;46.0;220.0;44.0;50.0;110.0;400.0;55.0;320.0;23.0;480.0;23.0;1000.0;4.1;4.4;75.0;1000.0;21.0;1000.0
35512775;2026-05-03;14:30:00;GERMANY 1;Freiburg;Wolfsburg;3.75;4.0;1.33;1.37;1.59;1.64;2.56;2.68;1.15;1.18;6.6;7.4;2.6;2.64;2.86;2.88;3.7;3.75;1.53;1.54;1.61;1.63;1.36;1.38;17.5;19.5;1.05;1.06;5.0;5.2;1.23;1.25;2.32;2.4;1.71;1.75;1.52;1.56;2.8;2.92;1.21;1.23;5.4;5.8;1.6;1.64;2.56;2.66;17.0;18.5;14.0;15.0;14.0;15.0;32.0;38.0;13.0;14.0;17.5;19.0;11.5;12.5;23.0;25.0;8.0;8.6;11.0;12.0;19.0;21.0;29.0;32.0;30.0;65.0;30.0;34.0;25.0;27.0;36.0;42.0;15.0;17.0;17.0;19.0;22.0;1000.0
