ID_Evento;Date;Time;League;Home;Away;Odd_Under05_HT_Back;Odd_Under05_HT_Lay;Odd_Over05_HT_Back;Odd_Over05_HT_Lay;Odd_Under15_HT_Back;Odd_Under15_HT_Lay;Odd_Over15_HT_Back;Odd_Over15_HT_Lay;Odd_Under25_HT_Back;Odd_Under25_HT_Lay;Odd_Over25_HT_Back;Odd_Over25_HT_Lay;Odd_H_Back;Odd_H_Lay;Odd_A_Back;Odd_A_Lay;Odd_D_Back;Odd_D_Lay;Odd_1X_Back;Odd_1X_Lay;Odd_X2_Back;Odd_X2_Lay;Odd_12_Back;Odd_12_Lay;Odd_Under05_FT_Back;Odd_Under05_FT_Lay;Odd_Over05_FT_Back;Odd_Over05_FT_Lay;Odd_Under15_FT_Back;Odd_Under15_FT_Lay;Odd_Over15_FT_Back;Odd_Over15_FT_Lay;Odd_Under25_FT_Back;Odd_Under25_FT_Lay;Odd_Over25_FT_Back;Odd_Over25_FT_Lay;Odd_Under35_FT_Back;Odd_Under35_FT_Lay;Odd_Over35_FT_Back;Odd_Over35_FT_Lay;Odd_Under45_FT_Back;Odd_Under45_FT_Lay;Odd_Over45_FT_Back;Odd_Over45_FT_Lay;Odd_BTTS_Yes_Back;Odd_BTTS_Yes_Lay;Odd_BTTS_No_Back;Odd_BTTS_No_Lay;Odd_CS_0x0_Back;Odd_CS_0x0_Lay;Odd_CS_0x1_Back;Odd_CS_0x1_Lay;Odd_CS_0x2_Back;Odd_CS_0x2_Lay;Odd_CS_0x3_Back;Odd_CS_0x3_Lay;Odd_CS_1x0_Back;Odd_CS_1x0_Lay;Odd_CS_1x1_Back;Odd_CS_1x1_Lay;Odd_CS_1x2_Back;Odd_CS_1x2_Lay;Odd_CS_1x3_Back;Odd_CS_1x3_Lay;Odd_CS_2x0_Back;Odd_CS_2x0_Lay;Odd_CS_2x1_Back;Odd_CS_2x1_Lay;Odd_CS_2x2_Back;Odd_CS_2x2_Lay;Odd_CS_2x3_Back;Odd_CS_2x3_Lay;Odd_CS_3x0_Back;Odd_CS_3x0_Lay;Odd_CS_3x1_Back;Odd_CS_3x1_Lay;Odd_CS_3x2_Back;Odd_CS_3x2_Lay;Odd_CS_3x3_Back;Odd_CS_3x3_Lay;Odd_CS_Goleada_H_Back;Odd_CS_Goleada_H_Lay;Odd_CS_Goleada_A_Back;Odd_CS_Goleada_A_Lay;Odd_CS_Goleada_D_Back;Odd_CS_Goleada_D_Lay
35458359;2026-04-18;10:00:00;ITALY 1;Udinese;Parma;2.78;2.92;1.52;1.56;1.35;1.39;3.55;3.8;1.08;1.1;11.0;13.5;2.24;2.28;4.0;4.2;3.15;3.25;1.31;1.34;1.78;1.81;1.44;1.47;9.0;9.8;1.11;1.13;3.1;3.2;1.46;1.48;1.68;1.71;2.42;2.48;1.25;1.27;4.7;4.9;1.09;1.1;11.0;12.5;2.02;2.08;1.93;1.99;9.2;9.8;11.0;12.0;18.5;20.0;25.0;28.0;7.4;8.0;12.0;14.0;15.5;16.5;24.0;27.0;6.6;7.2;10.5;11.0;25.0;26.0;44.0;50.0;44.0;140.0;36.0;80.0;50.0;60.0;75.0;90.0;21.0;24.0;60.0;75.0;60.0;1000.0
35458384;2026-04-18;10:30:00;GERMANY 1;Leverkusen;Augsburg;4.6;5.0;1.25;1.28;1.81;1.86;2.16;2.24;1.22;1.25;5.0;5.4;1.43;1.44;7.8;8.2;5.6;5.7;1.13;1.15;3.25;3.35;1.21;1.22;27.0;55.0;1.02;1.04;7.2;7.4;1.15;1.16;3.05;3.15;1.47;1.49;1.84;1.87;2.16;2.18;1.35;1.37;3.7;3.85;1.71;1.75;2.34;2.42;29.0;32.0;34.0;40.0;19.0;21.0;12.5;13.5;12.0;13.0;10.5;11.5;27.0;29.0;12.0;13.5;12.5;13.5;9.8;10.5;34.0;80.0;22.0;26.0;34.0;80.0;60.0;75.0;75.0;90.0;48.0;240.0;4.2;4.5;70.0;85.0;120.0;1000.0
35458387;2026-04-18;10:30:00;GERMANY 1;Werder Bremen;Hamburger SV;3.6;3.8;1.35;1.39;1.56;1.6;2.66;2.8;1.14;1.17;7.0;8.0;2.02;2.04;4.1;4.2;3.75;3.8;1.31;1.32;1.96;1.99;1.35;1.37;16.0;18.0;1.06;1.07;4.7;4.9;1.25;1.27;2.24;2.3;1.78;1.81;1.49;1.52;2.94;3.05;1.19;1.21;5.9;6.4;1.68;1.74;2.36;2.46;15.5;17.5;16.5;18.0;14.5;16.0;21.0;24.0;10.5;11.0;12.5;13.5;15.0;16.5;17.5;19.0;8.0;8.6;9.6;10.5;28.0;32.0;27.0;32.0;34.0;75.0;42.0;48.0;38.0;44.0;65.0;75.0;10.5;12.0;34.0;38.0;65.0;1000.0
35458413;2026-04-18;10:30:00;GERMANY 1;Hoffenheim;Dortmund;4.3;4.6;1.28;1.3;1.73;1.79;2.26;2.36;1.2;1.23;5.4;5.9;2.56;2.58;2.7;2.72;4.1;4.2;1.58;1.59;1.63;1.65;1.31;1.33;26.0;34.0;1.03;1.04;6.6;7.2;1.16;1.18;2.82;2.84;1.54;1.55;1.75;1.76;2.3;2.32;1.31;1.33;4.0;4.3;1.49;1.53;2.92;3.05;26.0;30.0;17.5;18.5;13.0;14.0;30.0;38.0;17.0;18.0;20.0;22.0;11.5;12.5;21.0;23.0;9.4;9.8;11.0;12.0;21.0;23.0;25.0;27.0;42.0;48.0;26.0;28.0;21.0;24.0;36.0;44.0;11.5;12.5;12.5;13.5;50.0;960.0
35458405;2026-04-18;10:30:00;GERMANY 1;Union Berlin;Wolfsburg;3.35;3.45;1.41;1.43;1.5;1.53;2.88;3.05;1.13;1.15;8.0;8.8;2.26;2.28;3.45;3.5;3.7;3.75;1.4;1.41;1.78;1.8;1.36;1.38;14.0;15.5;1.07;1.08;4.1;4.3;1.31;1.32;2.04;2.08;1.92;1.96;1.4;1.42;3.4;3.5;1.15;1.17;7.0;7.6;1.76;1.81;2.24;2.3;14.0;15.5;12.5;13.5;16.0;17.0;26.0;29.0;9.8;10.5;13.0;14.5;13.0;14.5;21.0;23.0;7.6;8.2;10.0;11.0;22.0;24.0;32.0;36.0;75.0;85.0;42.0;48.0;34.0;38.0;55.0;65.0;15.0;16.5;29.0;34.0;90.0;1000.0
35485500;2026-04-18;11:30:00;PORTUGAL 1;CD Nacional Funchal;Alverca;3.0;110.0;1.01;1.49;1.01;110.0;1.01;110.0;1.09;110.0;1.01;110.0;2.2;2.5;3.1;4.7;1.09;4.9;1.4;1.48;1.66;1.81;1.35;1.45;3.85;21.0;1.06;1.1;1.04;18.0;1.28;36.0;1.3;18.0;1.28;4.4;1.3;1.54;2.84;4.4;1.12;1.18;2.84;9.4;1.01;970.0;1.01;970.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0
35458352;2026-04-18;12:00:00;FRANCE 1;Lorient;Marseille;3.55;3.95;1.34;1.39;1.59;1.66;2.52;2.7;1.16;1.18;6.4;7.4;5.3;5.5;1.69;1.7;4.4;4.5;2.42;2.46;1.22;1.24;1.28;1.3;18.0;21.0;1.05;1.06;4.8;5.1;1.24;1.27;2.32;2.42;1.7;1.75;1.53;1.55;2.8;2.9;1.21;1.23;5.4;5.7;1.74;1.8;2.26;2.36;18.5;21.0;9.6;10.5;16.0;18.0;40.0;120.0;19.5;23.0;36.0;44.0;9.0;9.6;50.0;65.0;9.0;10.0;18.5;21.0;10.5;11.5;30.0;60.0;70.0;85.0;25.0;28.0;15.0;16.0;16.0;17.5;48.0;55.0;7.6;8.4;20.0;1000.0
35458356;2026-04-18;13:00:00;ITALY 1;Napoli;Lazio;2.86;2.98;1.51;1.54;1.38;1.41;3.45;3.6;1.08;1.11;10.5;12.5;1.57;1.59;7.8;8.0;4.1;4.2;1.14;1.15;2.68;2.74;1.31;1.33;10.5;11.5;1.09;1.11;3.2;3.25;1.44;1.46;1.72;1.76;2.32;2.38;1.26;1.28;4.5;4.8;1.09;1.11;10.5;11.5;2.38;2.48;1.68;1.72;10.5;11.5;17.5;19.5;29.0;32.0;12.5;14.0;6.0;6.4;7.2;7.6;28.0;32.0;18.0;19.5;8.8;9.2;9.8;10.5;55.0;65.0;48.0;55.0;50.0;280.0;46.0;160.0;130.0;160.0;60.0;300.0;11.0;12.0;50.0;270.0;25.0;1000.0
35458392;2026-04-18;13:30:00;GERMANY 1;Eintracht Frankfurt;RB Leipzig;4.5;4.8;1.26;1.28;1.78;1.84;2.2;2.28;1.22;1.25;5.1;5.4;3.6;3.7;2.04;2.06;4.2;4.3;1.94;1.97;1.37;1.39;1.3;1.32;27.0;36.0;1.03;1.04;7.0;7.4;1.15;1.16;2.96;3.05;1.49;1.51;1.8;1.83;2.2;2.26;1.33;1.35;3.85;4.1;1.5;1.52;2.94;3.0;27.0;30.0;15.0;16.5;13.0;14.5;50.0;60.0;21.0;24.0;29.0;32.0;10.0;11.5;30.0;34.0;9.6;10.5;14.5;15.5;16.0;17.0;30.0;34.0;40.0;46.0;21.0;23.0;16.0;17.5;23.0;26.0;17.0;20.0;7.6;8.2;48.0;310.0
35458358;2026-04-18;14:00:00;FRANCE 1;Angers;Le Havre;2.38;110.0;1.01;1.72;1.31;110.0;1.01;110.0;1.05;110.0;1.01;110.0;3.05;3.15;2.78;2.8;3.1;3.2;1.55;1.57;1.46;1.48;1.46;1.48;8.6;10.5;1.11;1.13;2.9;3.0;1.5;1.53;1.62;1.65;2.54;2.62;1.23;1.25;5.0;5.4;1.08;1.09;12.0;13.5;2.04;2.12;1.9;1.97;8.8;9.2;8.2;8.6;19.0;22.0;28.0;55.0;8.8;9.4;17.0;18.5;12.0;13.0;36.0;42.0;6.4;7.0;12.5;14.0;14.5;16.0;32.0;65.0;20.0;150.0;30.0;60.0;25.0;38.0;38.0;44.0;42.0;50.0;24.0;42.0;24.0;1000.0
