ID_Evento;Date;Time;League;Home;Away;Odd_Under05_HT_Back;Odd_Under05_HT_Lay;Odd_Over05_HT_Back;Odd_Over05_HT_Lay;Odd_Under15_HT_Back;Odd_Under15_HT_Lay;Odd_Over15_HT_Back;Odd_Over15_HT_Lay;Odd_Under25_HT_Back;Odd_Under25_HT_Lay;Odd_Over25_HT_Back;Odd_Over25_HT_Lay;Odd_H_Back;Odd_H_Lay;Odd_A_Back;Odd_A_Lay;Odd_D_Back;Odd_D_Lay;Odd_1X_Back;Odd_1X_Lay;Odd_X2_Back;Odd_X2_Lay;Odd_12_Back;Odd_12_Lay;Odd_Under05_FT_Back;Odd_Under05_FT_Lay;Odd_Over05_FT_Back;Odd_Over05_FT_Lay;Odd_Under15_FT_Back;Odd_Under15_FT_Lay;Odd_Over15_FT_Back;Odd_Over15_FT_Lay;Odd_Under25_FT_Back;Odd_Under25_FT_Lay;Odd_Over25_FT_Back;Odd_Over25_FT_Lay;Odd_Under35_FT_Back;Odd_Under35_FT_Lay;Odd_Over35_FT_Back;Odd_Over35_FT_Lay;Odd_Under45_FT_Back;Odd_Under45_FT_Lay;Odd_Over45_FT_Back;Odd_Over45_FT_Lay;Odd_BTTS_Yes_Back;Odd_BTTS_Yes_Lay;Odd_BTTS_No_Back;Odd_BTTS_No_Lay;Odd_CS_0x0_Back;Odd_CS_0x0_Lay;Odd_CS_0x1_Back;Odd_CS_0x1_Lay;Odd_CS_0x2_Back;Odd_CS_0x2_Lay;Odd_CS_0x3_Back;Odd_CS_0x3_Lay;Odd_CS_1x0_Back;Odd_CS_1x0_Lay;Odd_CS_1x1_Back;Odd_CS_1x1_Lay;Odd_CS_1x2_Back;Odd_CS_1x2_Lay;Odd_CS_1x3_Back;Odd_CS_1x3_Lay;Odd_CS_2x0_Back;Odd_CS_2x0_Lay;Odd_CS_2x1_Back;Odd_CS_2x1_Lay;Odd_CS_2x2_Back;Odd_CS_2x2_Lay;Odd_CS_2x3_Back;Odd_CS_2x3_Lay;Odd_CS_3x0_Back;Odd_CS_3x0_Lay;Odd_CS_3x1_Back;Odd_CS_3x1_Lay;Odd_CS_3x2_Back;Odd_CS_3x2_Lay;Odd_CS_3x3_Back;Odd_CS_3x3_Lay;Odd_CS_Goleada_H_Back;Odd_CS_Goleada_H_Lay;Odd_CS_Goleada_A_Back;Odd_CS_Goleada_A_Lay;Odd_CS_Goleada_D_Back;Odd_CS_Goleada_D_Lay
35568211;2026-05-14;14:00:00;SPAIN 1;Valencia;Rayo Vallecano;3.0;3.15;1.46;1.5;1.43;1.45;3.2;3.35;1.1;1.12;9.4;11.0;2.28;2.3;3.75;3.85;3.25;3.35;1.35;1.37;1.76;1.79;1.42;1.44;11.0;12.0;1.09;1.1;3.5;3.6;1.39;1.4;1.82;1.84;2.18;2.22;1.31;1.34;4.0;4.2;1.11;1.13;9.0;9.8;1.88;1.93;2.08;2.14;10.5;12.0;11.5;12.5;16.5;18.0;27.0;32.0;8.6;9.0;12.5;14.0;14.0;16.0;23.0;27.0;6.8;7.2;10.5;11.5;22.0;25.0;38.0;44.0;38.0;110.0;50.0;60.0;42.0;48.0;65.0;75.0;19.0;21.0;42.0;55.0;65.0;1000.0
35568210;2026-05-14;15:00:00;SPAIN 1;Girona;Real Sociedad;3.45;3.65;1.38;1.41;1.54;1.57;2.76;2.86;1.14;1.16;7.4;8.0;2.06;2.1;3.8;3.85;3.85;3.9;1.35;1.36;1.91;1.94;1.34;1.36;16.0;17.5;1.06;1.07;4.4;4.7;1.27;1.29;2.18;2.2;1.83;1.85;1.45;1.48;3.1;3.25;1.18;1.19;6.2;6.6;1.72;1.76;2.3;2.4;16.0;17.5;15.0;16.0;15.5;16.5;22.0;24.0;10.0;11.0;12.5;13.5;14.0;15.5;18.5;20.0;8.2;8.6;9.8;10.5;26.0;28.0;29.0;32.0;34.0;80.0;42.0;46.0;36.0;42.0;60.0;75.0;12.0;13.0;34.0;36.0;130.0;1000.0
35568201;2026-05-14;16:30:00;SPAIN 1;Real Madrid;Oviedo;4.4;4.7;1.27;1.3;1.75;1.8;2.24;2.34;1.21;1.23;5.3;5.7;1.3;1.31;11.0;12.0;6.8;7.0;1.09;1.1;4.2;4.3;1.16;1.18;27.0;36.0;1.03;1.04;6.2;6.6;1.17;1.19;2.8;2.86;1.54;1.56;1.71;1.73;2.38;2.42;1.3;1.32;4.1;4.4;1.92;1.99;2.02;2.08;28.0;32.0;36.0;44.0;26.0;28.0;10.5;11.5;10.0;11.0;8.4;8.8;36.0;40.0;12.0;13.0;13.5;14.5;9.8;10.5;40.0;110.0;26.0;30.0;42.0;140.0;40.0;120.0;44.0;160.0;120.0;450.0;4.1;4.4;85.0;160.0;80.0;1000.0
