ID_Evento;Date;Time;League;Home;Away;Odd_Under05_HT_Back;Odd_Under05_HT_Lay;Odd_Over05_HT_Back;Odd_Over05_HT_Lay;Odd_Under15_HT_Back;Odd_Under15_HT_Lay;Odd_Over15_HT_Back;Odd_Over15_HT_Lay;Odd_Under25_HT_Back;Odd_Under25_HT_Lay;Odd_Over25_HT_Back;Odd_Over25_HT_Lay;Odd_H_Back;Odd_H_Lay;Odd_A_Back;Odd_A_Lay;Odd_D_Back;Odd_D_Lay;Odd_1X_Back;Odd_1X_Lay;Odd_X2_Back;Odd_X2_Lay;Odd_12_Back;Odd_12_Lay;Odd_Under05_FT_Back;Odd_Under05_FT_Lay;Odd_Over05_FT_Back;Odd_Over05_FT_Lay;Odd_Under15_FT_Back;Odd_Under15_FT_Lay;Odd_Over15_FT_Back;Odd_Over15_FT_Lay;Odd_Under25_FT_Back;Odd_Under25_FT_Lay;Odd_Over25_FT_Back;Odd_Over25_FT_Lay;Odd_Under35_FT_Back;Odd_Under35_FT_Lay;Odd_Over35_FT_Back;Odd_Over35_FT_Lay;Odd_Under45_FT_Back;Odd_Under45_FT_Lay;Odd_Over45_FT_Back;Odd_Over45_FT_Lay;Odd_BTTS_Yes_Back;Odd_BTTS_Yes_Lay;Odd_BTTS_No_Back;Odd_BTTS_No_Lay;Odd_CS_0x0_Back;Odd_CS_0x0_Lay;Odd_CS_0x1_Back;Odd_CS_0x1_Lay;Odd_CS_0x2_Back;Odd_CS_0x2_Lay;Odd_CS_0x3_Back;Odd_CS_0x3_Lay;Odd_CS_1x0_Back;Odd_CS_1x0_Lay;Odd_CS_1x1_Back;Odd_CS_1x1_Lay;Odd_CS_1x2_Back;Odd_CS_1x2_Lay;Odd_CS_1x3_Back;Odd_CS_1x3_Lay;Odd_CS_2x0_Back;Odd_CS_2x0_Lay;Odd_CS_2x1_Back;Odd_CS_2x1_Lay;Odd_CS_2x2_Back;Odd_CS_2x2_Lay;Odd_CS_2x3_Back;Odd_CS_2x3_Lay;Odd_CS_3x0_Back;Odd_CS_3x0_Lay;Odd_CS_3x1_Back;Odd_CS_3x1_Lay;Odd_CS_3x2_Back;Odd_CS_3x2_Lay;Odd_CS_3x3_Back;Odd_CS_3x3_Lay;Odd_CS_Goleada_H_Back;Odd_CS_Goleada_H_Lay;Odd_CS_Goleada_A_Back;Odd_CS_Goleada_A_Lay;Odd_CS_Goleada_D_Back;Odd_CS_Goleada_D_Lay
35404822;2026-04-10;14:00:00;FRANCE 1;Paris FC;Monaco;3.8;4.0;1.33;1.36;1.62;1.65;2.54;2.62;1.16;1.18;6.4;7.2;4.0;4.1;2.0;2.02;3.9;4.0;1.98;2.0;1.33;1.34;1.33;1.35;19.0;21.0;1.05;1.06;5.2;5.4;1.23;1.24;2.44;2.48;1.68;1.7;1.57;1.58;2.72;2.74;1.23;1.25;5.1;5.3;1.63;1.68;2.48;2.6;19.5;21.0;11.0;12.5;14.5;15.0;65.0;75.0;17.5;19.0;28.0;32.0;10.0;10.5;34.0;40.0;8.6;9.0;15.0;16.5;13.0;14.0;38.0;44.0;55.0;65.0;25.0;28.0;17.0;18.0;22.0;24.0;29.0;32.0;9.4;10.5;75.0;960.0
35404326;2026-04-10;15:30:00;GERMANY 1;Augsburg;Hoffenheim;4.0;4.3;1.31;1.33;1.67;1.7;2.42;2.5;1.18;1.2;6.0;6.6;3.6;3.65;2.1;2.14;3.9;4.0;1.87;1.91;1.37;1.39;1.33;1.35;21.0;26.0;1.04;1.05;5.7;5.9;1.2;1.21;2.58;2.62;1.61;1.63;1.63;1.66;2.52;2.6;1.25;1.27;4.7;4.9;1.57;1.61;2.66;2.76;21.0;23.0;13.0;14.0;13.0;14.0;55.0;65.0;18.5;20.0;27.0;29.0;10.0;10.5;32.0;36.0;8.6;9.2;14.0;15.5;15.0;16.0;32.0;36.0;48.0;55.0;25.0;26.0;17.5;19.0;23.0;26.0;22.0;24.0;9.6;10.5;120.0;850.0
35403762;2026-04-10;15:45:00;ITALY 1;Roma;Pisa;3.4;3.5;1.4;1.42;1.49;1.53;2.92;3.05;1.12;1.14;8.2;9.2;1.36;1.37;11.5;12.0;5.5;5.6;1.09;1.1;3.7;3.8;1.21;1.23;15.5;17.0;1.06;1.07;4.1;4.3;1.31;1.32;2.04;2.08;1.94;1.96;1.39;1.41;3.45;3.55;1.15;1.16;7.2;7.6;2.4;2.48;1.67;1.71;15.5;17.0;28.0;32.0;32.0;36.0;9.4;9.8;6.8;7.0;6.6;6.8;36.0;44.0;15.0;16.0;11.0;12.5;10.0;10.5;38.0;110.0;44.0;50.0;220.0;260.0;48.0;220.0;55.0;250.0;55.0;650.0;6.2;6.6;110.0;410.0;40.0;1000.0
35403978;2026-04-10;16:00:00;SPAIN 1;Real Madrid;Girona;4.8;5.0;1.25;1.26;1.86;1.91;2.08;2.16;1.25;1.27;4.7;5.0;1.32;1.33;10.5;11.0;6.4;6.6;1.1;1.11;4.0;4.2;1.17;1.19;34.0;48.0;1.02;1.03;7.6;8.2;1.14;1.15;3.2;3.3;1.44;1.45;1.88;1.91;2.1;2.16;1.37;1.39;3.55;3.65;1.79;1.81;2.22;2.28;32.0;36.0;42.0;48.0;23.0;25.0;10.5;11.5;12.0;13.0;9.6;10.5;34.0;38.0;12.0;13.0;14.0;15.0;10.0;11.0;85.0;110.0;25.0;27.0;85.0;100.0;85.0;95.0;42.0;130.0;55.0;430.0;3.65;3.8;85.0;120.0;55.0;1000.0
35404819;2026-04-10;16:05:00;FRANCE 1;Marseille;Metz;4.9;5.1;1.24;1.26;1.83;1.89;2.12;2.22;1.25;1.27;4.8;4.9;1.26;1.27;13.5;14.5;7.2;7.4;1.07;1.08;4.7;4.9;1.15;1.17;30.0;46.0;1.02;1.03;7.6;8.0;1.14;1.16;3.2;3.3;1.44;1.46;1.88;1.9;2.1;2.14;1.38;1.39;3.55;3.65;1.94;2.0;2.0;2.08;32.0;38.0;46.0;55.0;25.0;29.0;9.4;9.8;11.5;13.0;8.8;9.2;42.0;48.0;12.0;13.0;15.0;16.5;10.5;11.5;60.0;140.0;28.0;34.0;70.0;130.0;55.0;130.0;46.0;210.0;100.0;570.0;3.35;3.45;120.0;200.0;44.0;1000.0
35454066;2026-04-10;16:45:00;PORTUGAL 1;Famalicao;Moreirense;3.1;3.3;1.44;1.47;1.44;1.47;3.1;3.3;1.11;1.13;9.0;10.0;1.52;1.53;8.4;8.6;4.4;4.5;1.13;1.14;2.88;2.94;1.28;1.3;12.5;14.0;1.07;1.09;3.7;3.85;1.35;1.37;1.89;1.94;2.06;2.12;1.33;1.36;3.75;4.0;1.12;1.14;8.2;9.0;2.2;2.28;1.79;1.83;12.5;13.5;21.0;23.0;25.0;28.0;11.5;13.0;6.4;7.0;7.2;8.0;28.0;32.0;15.5;17.5;9.0;10.0;9.4;10.0;23.0;75.0;40.0;46.0;36.0;200.0;21.0;140.0;23.0;150.0;19.0;420.0;8.4;9.2;22.0;230.0;20.0;1000.0
