ID_Evento;Date;Time;League;Home;Away;Odd_Under05_HT_Back;Odd_Under05_HT_Lay;Odd_Over05_HT_Back;Odd_Over05_HT_Lay;Odd_Under15_HT_Back;Odd_Under15_HT_Lay;Odd_Over15_HT_Back;Odd_Over15_HT_Lay;Odd_Under25_HT_Back;Odd_Under25_HT_Lay;Odd_Over25_HT_Back;Odd_Over25_HT_Lay;Odd_H_Back;Odd_H_Lay;Odd_A_Back;Odd_A_Lay;Odd_D_Back;Odd_D_Lay;Odd_1X_Back;Odd_1X_Lay;Odd_X2_Back;Odd_X2_Lay;Odd_12_Back;Odd_12_Lay;Odd_Under05_FT_Back;Odd_Under05_FT_Lay;Odd_Over05_FT_Back;Odd_Over05_FT_Lay;Odd_Under15_FT_Back;Odd_Under15_FT_Lay;Odd_Over15_FT_Back;Odd_Over15_FT_Lay;Odd_Under25_FT_Back;Odd_Under25_FT_Lay;Odd_Over25_FT_Back;Odd_Over25_FT_Lay;Odd_Under35_FT_Back;Odd_Under35_FT_Lay;Odd_Over35_FT_Back;Odd_Over35_FT_Lay;Odd_Under45_FT_Back;Odd_Under45_FT_Lay;Odd_Over45_FT_Back;Odd_Over45_FT_Lay;Odd_BTTS_Yes_Back;Odd_BTTS_Yes_Lay;Odd_BTTS_No_Back;Odd_BTTS_No_Lay;Odd_CS_0x0_Back;Odd_CS_0x0_Lay;Odd_CS_0x1_Back;Odd_CS_0x1_Lay;Odd_CS_0x2_Back;Odd_CS_0x2_Lay;Odd_CS_0x3_Back;Odd_CS_0x3_Lay;Odd_CS_1x0_Back;Odd_CS_1x0_Lay;Odd_CS_1x1_Back;Odd_CS_1x1_Lay;Odd_CS_1x2_Back;Odd_CS_1x2_Lay;Odd_CS_1x3_Back;Odd_CS_1x3_Lay;Odd_CS_2x0_Back;Odd_CS_2x0_Lay;Odd_CS_2x1_Back;Odd_CS_2x1_Lay;Odd_CS_2x2_Back;Odd_CS_2x2_Lay;Odd_CS_2x3_Back;Odd_CS_2x3_Lay;Odd_CS_3x0_Back;Odd_CS_3x0_Lay;Odd_CS_3x1_Back;Odd_CS_3x1_Lay;Odd_CS_3x2_Back;Odd_CS_3x2_Lay;Odd_CS_3x3_Back;Odd_CS_3x3_Lay;Odd_CS_Goleada_H_Back;Odd_CS_Goleada_H_Lay;Odd_CS_Goleada_A_Back;Odd_CS_Goleada_A_Lay;Odd_CS_Goleada_D_Back;Odd_CS_Goleada_D_Lay
35484915;2026-04-27;13:30:00;ITALY 1;Cagliari;Atalanta;3.2;3.35;1.42;1.46;1.48;1.5;3.0;3.1;1.12;1.13;8.6;9.2;5.0;5.1;1.8;1.81;3.95;4.0;2.22;2.26;1.24;1.25;1.33;1.34;13.5;15.5;1.07;1.08;3.95;4.1;1.33;1.34;2.0;2.02;1.98;2.0;1.38;1.4;3.5;3.6;1.15;1.16;7.4;8.0;1.89;1.93;2.08;2.14;14.0;15.0;8.2;8.4;18.0;19.5;100.0;130.0;16.0;17.5;36.0;38.0;9.4;9.6;55.0;65.0;8.2;8.6;18.5;19.0;10.0;11.0;60.0;70.0;85.0;110.0;32.0;36.0;17.5;18.0;17.0;18.0;70.0;85.0;11.0;12.0;85.0;1000.0
35484872;2026-04-27;15:45:00;ITALY 1;Lazio;Udinese;2.8;2.94;1.52;1.55;1.37;1.4;3.55;3.7;1.09;1.1;11.0;12.0;2.14;2.16;4.2;4.3;3.35;3.4;1.3;1.32;1.86;1.88;1.41;1.43;10.0;10.5;1.1;1.11;3.15;3.25;1.44;1.46;1.73;1.75;2.34;2.36;1.27;1.28;4.5;4.7;1.1;1.11;10.5;11.0;2.02;2.04;1.96;1.99;10.0;10.5;11.5;12.5;18.5;19.5;24.0;26.0;7.6;7.8;11.0;12.0;16.0;16.5;23.0;26.0;7.0;7.2;10.0;11.0;26.0;27.0;42.0;48.0;100.0;140.0;65.0;75.0;50.0;60.0;60.0;95.0;20.0;22.0;65.0;80.0;65.0;1000.0
35480914;2026-04-27;16:00:00;ENGLAND 1;Man Utd;Brentford;4.0;4.2;1.31;1.34;1.66;1.7;2.42;2.5;1.19;1.2;6.0;6.2;2.0;2.02;3.95;4.0;3.95;4.0;1.33;1.34;1.98;1.99;1.33;1.34;21.0;24.0;1.04;1.05;5.6;5.9;1.2;1.22;2.56;2.58;1.63;1.64;1.62;1.64;2.56;2.6;1.25;1.27;4.8;4.9;1.59;1.61;2.64;2.68;21.0;22.0;19.5;20.0;14.0;14.5;22.0;23.0;12.5;13.0;14.5;15.0;15.5;16.5;16.5;17.5;8.8;9.0;10.0;10.5;30.0;32.0;24.0;26.0;50.0;60.0;36.0;38.0;36.0;38.0;60.0;70.0;9.2;9.4;28.0;30.0;260.0;410.0
35484579;2026-04-27;16:00:00;SPAIN 1;Espanyol;Levante;3.05;3.2;1.46;1.49;1.44;1.45;3.2;3.3;1.11;1.12;9.6;10.5;2.14;2.16;4.0;4.1;3.45;3.5;1.32;1.34;1.86;1.88;1.4;1.41;11.5;12.5;1.09;1.1;3.6;3.7;1.37;1.38;1.88;1.9;2.1;2.14;1.33;1.35;3.85;4.1;1.12;1.13;8.6;9.2;1.87;1.91;2.1;2.14;11.5;12.5;12.5;14.0;17.0;17.5;24.0;26.0;8.4;8.8;12.0;12.5;15.0;16.0;22.0;24.0;7.2;7.4;10.0;10.5;26.0;28.0;36.0;40.0;90.0;110.0;55.0;60.0;46.0;50.0;70.0;85.0;16.5;17.5;50.0;60.0;85.0;1000.0
35515349;2026-04-27;16:15:00;PORTUGAL 1;Gil Vicente;Casa Pia;3.0;3.15;1.47;1.5;1.41;1.44;3.25;3.45;1.1;1.12;9.8;11.0;1.68;1.7;6.2;6.6;4.0;4.1;1.18;1.2;2.42;2.48;1.32;1.34;11.5;13.0;1.08;1.1;3.35;3.5;1.4;1.42;1.81;1.83;2.2;2.24;1.3;1.31;4.2;4.4;1.11;1.12;9.4;10.5;2.12;2.2;1.84;1.9;11.0;13.0;16.0;17.5;21.0;25.0;14.5;16.0;6.4;7.0;8.4;8.8;22.0;25.0;17.5;19.5;8.0;8.8;9.0;9.8;38.0;50.0;34.0;44.0;20.0;170.0;20.0;110.0;20.0;110.0;20.0;190.0;11.5;12.5;20.0;160.0;22.0;1000.0
