ID_Evento;Date;Time;League;Home;Away;Odd_Under05_HT_Back;Odd_Under05_HT_Lay;Odd_Over05_HT_Back;Odd_Over05_HT_Lay;Odd_Under15_HT_Back;Odd_Under15_HT_Lay;Odd_Over15_HT_Back;Odd_Over15_HT_Lay;Odd_Under25_HT_Back;Odd_Under25_HT_Lay;Odd_Over25_HT_Back;Odd_Over25_HT_Lay;Odd_H_Back;Odd_H_Lay;Odd_A_Back;Odd_A_Lay;Odd_D_Back;Odd_D_Lay;Odd_1X_Back;Odd_1X_Lay;Odd_X2_Back;Odd_X2_Lay;Odd_12_Back;Odd_12_Lay;Odd_Under05_FT_Back;Odd_Under05_FT_Lay;Odd_Over05_FT_Back;Odd_Over05_FT_Lay;Odd_Under15_FT_Back;Odd_Under15_FT_Lay;Odd_Over15_FT_Back;Odd_Over15_FT_Lay;Odd_Under25_FT_Back;Odd_Under25_FT_Lay;Odd_Over25_FT_Back;Odd_Over25_FT_Lay;Odd_Under35_FT_Back;Odd_Under35_FT_Lay;Odd_Over35_FT_Back;Odd_Over35_FT_Lay;Odd_Under45_FT_Back;Odd_Under45_FT_Lay;Odd_Over45_FT_Back;Odd_Over45_FT_Lay;Odd_BTTS_Yes_Back;Odd_BTTS_Yes_Lay;Odd_BTTS_No_Back;Odd_BTTS_No_Lay;Odd_CS_0x0_Back;Odd_CS_0x0_Lay;Odd_CS_0x1_Back;Odd_CS_0x1_Lay;Odd_CS_0x2_Back;Odd_CS_0x2_Lay;Odd_CS_0x3_Back;Odd_CS_0x3_Lay;Odd_CS_1x0_Back;Odd_CS_1x0_Lay;Odd_CS_1x1_Back;Odd_CS_1x1_Lay;Odd_CS_1x2_Back;Odd_CS_1x2_Lay;Odd_CS_1x3_Back;Odd_CS_1x3_Lay;Odd_CS_2x0_Back;Odd_CS_2x0_Lay;Odd_CS_2x1_Back;Odd_CS_2x1_Lay;Odd_CS_2x2_Back;Odd_CS_2x2_Lay;Odd_CS_2x3_Back;Odd_CS_2x3_Lay;Odd_CS_3x0_Back;Odd_CS_3x0_Lay;Odd_CS_3x1_Back;Odd_CS_3x1_Lay;Odd_CS_3x2_Back;Odd_CS_3x2_Lay;Odd_CS_3x3_Back;Odd_CS_3x3_Lay;Odd_CS_Goleada_H_Back;Odd_CS_Goleada_H_Lay;Odd_CS_Goleada_A_Back;Odd_CS_Goleada_A_Lay;Odd_CS_Goleada_D_Back;Odd_CS_Goleada_D_Lay
35458353;2026-04-19;07:30:00;ITALY 1;US Cremonese;Torino;2.84;2.98;1.51;1.55;1.37;1.41;3.45;3.7;1.08;1.11;10.5;13.5;3.1;3.2;2.68;2.72;3.2;3.25;1.58;1.6;1.45;1.48;1.44;1.46;9.6;10.5;1.1;1.12;3.2;3.25;1.44;1.46;1.72;1.75;2.34;2.4;1.27;1.29;4.5;4.8;1.09;1.11;10.5;11.5;1.95;2.02;1.99;2.06;9.6;10.5;8.6;9.0;17.5;19.0;48.0;55.0;9.6;10.5;18.0;19.0;11.5;12.5;36.0;40.0;6.6;7.0;12.5;13.5;15.0;16.0;50.0;60.0;42.0;130.0;28.0;55.0;30.0;34.0;36.0;40.0;38.0;46.0;30.0;34.0;95.0;1000.0
35458391;2026-04-19;10:00:00;FRANCE 1;Monaco;Auxerre;1.01;110.0;1.01;110.0;1.02;110.0;1.01;110.0;1.12;110.0;1.01;110.0;1.57;1.59;6.6;7.2;4.5;4.7;1.16;1.18;2.72;2.8;1.27;1.29;17.5;20.0;1.05;1.06;4.7;5.0;1.25;1.27;2.28;2.34;1.75;1.78;1.5;1.54;2.84;3.0;1.2;1.22;5.6;5.9;1.86;1.9;2.1;2.18;17.5;18.5;23.0;25.0;19.5;21.0;13.0;14.5;8.8;9.4;9.2;9.8;22.0;25.0;14.0;15.5;9.4;10.0;9.2;9.6;29.0;60.0;25.0;32.0;38.0;110.0;36.0;80.0;36.0;90.0;46.0;200.0;6.8;7.4;38.0;100.0;24.0;1000.0
35458345;2026-04-19;10:00:00;ITALY 1;Verona;AC Milan;3.1;3.25;1.44;1.48;1.43;1.47;3.15;3.35;1.1;1.13;9.2;10.5;7.4;7.6;1.59;1.6;4.1;4.2;2.66;2.7;1.15;1.16;1.31;1.33;12.0;13.5;1.08;1.09;3.65;3.75;1.36;1.38;1.89;1.92;2.08;2.14;1.33;1.35;3.85;4.0;1.12;1.14;8.6;9.0;2.14;2.22;1.83;1.87;12.0;13.0;6.8;7.4;23.0;26.0;23.0;260.0;19.0;21.0;50.0;60.0;9.6;10.0;40.0;130.0;8.4;9.2;25.0;28.0;7.8;8.2;42.0;130.0;23.0;170.0;40.0;44.0;16.5;18.0;13.0;14.0;24.0;190.0;9.2;10.0;23.0;1000.0
35458539;2026-04-19;10:30:00;GERMANY 1;Freiburg;FC Heidenheim;3.85;4.1;1.32;1.35;1.62;1.67;2.48;2.6;1.16;1.19;6.2;7.0;1.74;1.75;5.0;5.1;4.3;4.5;1.24;1.25;2.32;2.36;1.29;1.31;19.0;23.0;1.04;1.06;5.3;5.5;1.22;1.23;2.44;2.52;1.66;1.7;1.56;1.6;2.68;2.76;1.23;1.25;5.1;5.3;1.69;1.74;2.36;2.46;20.0;21.0;20.0;23.0;16.0;17.5;16.5;18.0;10.0;11.5;11.0;12.0;18.0;19.0;15.0;16.5;9.2;9.8;9.2;10.0;38.0;42.0;25.0;27.0;34.0;75.0;28.0;55.0;28.0;55.0;40.0;120.0;7.4;7.8;28.0;50.0;75.0;1000.0
35460074;2026-04-19;11:00:00;BRAZIL 1;Internacional;Mirassol;1.01;3.35;1.42;110.0;1.41;1.48;3.05;110.0;1.07;110.0;1.01;110.0;1.76;1.91;4.9;5.9;3.65;4.0;1.2;1.26;2.08;2.32;1.33;1.38;8.6;13.5;1.08;1.11;3.1;3.9;1.36;1.47;1.71;1.93;2.08;2.42;1.26;1.37;3.7;4.9;1.09;1.14;3.75;12.5;1.98;2.3;1.76;2.02;1.13;1000.0;1.13;1000.0;1.14;1000.0;1.14;1000.0;1.01;8.6;1.13;1000.0;1.14;1000.0;1.14;1000.0;1.13;1000.0;1.13;1000.0;1.14;1000.0;1.14;1000.0;1.14;1000.0;1.14;1000.0;1.14;1000.0;1.14;1000.0;1.13;1000.0;1.14;1000.0;1.13;1000.0
35485510;2026-04-19;11:30:00;PORTUGAL 1;Arouca;Club Football Estrela;3.0;110.0;1.01;1.49;1.01;110.0;1.01;110.0;1.09;110.0;1.01;110.0;2.08;2.14;4.2;4.5;3.4;3.55;1.29;1.32;1.87;1.93;1.39;1.42;10.0;21.0;1.07;1.09;3.5;4.9;1.3;1.36;1.86;2.2;1.83;2.16;1.34;1.44;3.15;4.1;1.12;1.17;3.25;9.2;1.62;1.89;2.12;2.6;2.22;1000.0;2.22;1000.0;2.04;24.0;2.08;32.0;1.89;12.5;1.97;17.0;11.5;22.0;2.0;21.0;1.84;10.5;1.93;14.5;20.0;42.0;2.12;48.0;2.22;1000.0;2.16;80.0;2.16;70.0;2.18;1000.0;2.22;1000.0;1.84;1000.0;1.83;1000.0
35458373;2026-04-19;12:15:00;FRANCE 1;Strasbourg;Rennes;3.0;110.0;1.01;1.5;1.01;110.0;1.01;110.0;1.13;110.0;1.01;110.0;2.86;2.88;2.52;2.54;3.85;3.9;1.64;1.66;1.53;1.54;1.34;1.35;17.0;21.0;1.05;1.06;4.8;5.1;1.24;1.27;2.28;2.38;1.73;1.79;1.51;1.54;2.84;3.0;1.2;1.23;5.5;5.9;1.62;1.66;2.52;2.6;17.5;19.0;12.0;13.5;14.0;15.5;38.0;44.0;13.5;15.0;19.5;21.0;10.5;11.5;25.0;28.0;8.0;8.8;11.5;12.5;16.5;18.5;30.0;36.0;32.0;70.0;29.0;34.0;22.0;25.0;30.0;36.0;18.0;21.0;15.0;17.0;19.5;1000.0
35458394;2026-04-19;12:15:00;FRANCE 1;Nantes;Brest;1.66;110.0;1.01;2.02;1.36;1.52;2.92;110.0;1.07;110.0;1.01;110.0;2.5;2.54;3.15;3.3;3.3;3.45;1.43;1.46;1.64;1.67;1.4;1.43;10.5;12.5;1.09;1.11;3.3;3.4;1.41;1.44;1.74;1.79;2.28;2.34;1.28;1.31;4.3;4.6;1.1;1.12;9.6;11.0;1.94;1.99;2.0;2.08;10.5;11.5;9.8;11.0;17.5;19.5;26.0;38.0;8.4;9.2;13.5;15.0;12.5;14.0;21.0;32.0;6.8;7.4;10.5;12.0;19.0;21.0;38.0;48.0;17.5;150.0;15.5;70.0;29.0;42.0;29.0;75.0;18.0;28.0;25.0;48.0;15.5;1000.0
35458401;2026-04-19;12:15:00;FRANCE 1;Metz;Paris FC;3.0;110.0;1.01;1.49;1.01;110.0;1.01;110.0;1.1;110.0;1.01;110.0;3.6;4.1;2.1;2.22;3.65;3.7;1.81;1.9;1.34;1.38;1.37;1.38;9.2;18.0;1.06;1.08;3.85;18.0;1.28;1.35;2.0;2.34;1.74;2.0;1.33;1.56;2.76;4.1;1.12;1.19;2.78;9.2;1.01;1.87;2.14;1000.0;13.0;18.0;8.8;11.0;14.0;18.0;7.4;1000.0;12.5;15.5;18.5;29.0;9.2;11.5;7.0;1000.0;7.0;8.8;13.0;16.5;12.0;15.0;7.2;1000.0;7.4;90.0;6.6;1000.0;19.0;24.0;21.0;29.0;7.0;48.0;13.0;16.5;8.2;1000.0
35458398;2026-04-19;12:30:00;GERMANY 1;Bayern Munich;Stuttgart;6.2;6.8;1.17;1.2;2.18;2.28;1.78;1.84;1.36;1.39;3.6;3.8;1.44;1.45;7.0;7.2;6.0;6.2;1.16;1.17;3.2;3.3;1.19;1.2;50.0;110.0;1.01;1.02;12.0;13.0;1.08;1.09;4.5;4.8;1.26;1.28;2.44;2.5;1.67;1.69;1.64;1.66;2.5;2.58;1.43;1.47;3.15;3.3;32.0;60.0;29.0;65.0;16.5;18.0;16.0;17.5;21.0;23.0;15.0;16.5;19.0;30.0;12.0;12.5;15.5;17.5;11.0;12.0;36.0;1000.0;17.5;19.5;40.0;48.0;44.0;50.0;32.0;70.0;46.0;220.0;3.2;3.35;29.0;34.0;44.0;1000.0
