ID_Evento;Date;Time;League;Home;Away;Odd_Under05_HT_Back;Odd_Under05_HT_Lay;Odd_Over05_HT_Back;Odd_Over05_HT_Lay;Odd_Under15_HT_Back;Odd_Under15_HT_Lay;Odd_Over15_HT_Back;Odd_Over15_HT_Lay;Odd_Under25_HT_Back;Odd_Under25_HT_Lay;Odd_Over25_HT_Back;Odd_Over25_HT_Lay;Odd_H_Back;Odd_H_Lay;Odd_A_Back;Odd_A_Lay;Odd_D_Back;Odd_D_Lay;Odd_1X_Back;Odd_1X_Lay;Odd_X2_Back;Odd_X2_Lay;Odd_12_Back;Odd_12_Lay;Odd_Under05_FT_Back;Odd_Under05_FT_Lay;Odd_Over05_FT_Back;Odd_Over05_FT_Lay;Odd_Under15_FT_Back;Odd_Under15_FT_Lay;Odd_Over15_FT_Back;Odd_Over15_FT_Lay;Odd_Under25_FT_Back;Odd_Under25_FT_Lay;Odd_Over25_FT_Back;Odd_Over25_FT_Lay;Odd_Under35_FT_Back;Odd_Under35_FT_Lay;Odd_Over35_FT_Back;Odd_Over35_FT_Lay;Odd_Under45_FT_Back;Odd_Under45_FT_Lay;Odd_Over45_FT_Back;Odd_Over45_FT_Lay;Odd_BTTS_Yes_Back;Odd_BTTS_Yes_Lay;Odd_BTTS_No_Back;Odd_BTTS_No_Lay;Odd_CS_0x0_Back;Odd_CS_0x0_Lay;Odd_CS_0x1_Back;Odd_CS_0x1_Lay;Odd_CS_0x2_Back;Odd_CS_0x2_Lay;Odd_CS_0x3_Back;Odd_CS_0x3_Lay;Odd_CS_1x0_Back;Odd_CS_1x0_Lay;Odd_CS_1x1_Back;Odd_CS_1x1_Lay;Odd_CS_1x2_Back;Odd_CS_1x2_Lay;Odd_CS_1x3_Back;Odd_CS_1x3_Lay;Odd_CS_2x0_Back;Odd_CS_2x0_Lay;Odd_CS_2x1_Back;Odd_CS_2x1_Lay;Odd_CS_2x2_Back;Odd_CS_2x2_Lay;Odd_CS_2x3_Back;Odd_CS_2x3_Lay;Odd_CS_3x0_Back;Odd_CS_3x0_Lay;Odd_CS_3x1_Back;Odd_CS_3x1_Lay;Odd_CS_3x2_Back;Odd_CS_3x2_Lay;Odd_CS_3x3_Back;Odd_CS_3x3_Lay;Odd_CS_Goleada_H_Back;Odd_CS_Goleada_H_Lay;Odd_CS_Goleada_A_Back;Odd_CS_Goleada_A_Lay;Odd_CS_Goleada_D_Back;Odd_CS_Goleada_D_Lay
35458426;2026-04-23;14:00:00;SPAIN 1;Levante;Sevilla;2.94;3.1;1.48;1.52;1.4;1.43;3.3;3.55;1.09;1.11;10.0;11.5;2.58;2.6;3.1;3.15;3.35;3.4;1.46;1.48;1.62;1.64;1.41;1.43;10.5;12.0;1.09;1.11;3.4;3.5;1.4;1.42;1.78;1.82;2.22;2.28;1.29;1.31;4.2;4.4;1.1;1.12;9.4;10.5;1.91;1.95;2.04;2.1;10.5;11.5;10.5;11.0;17.5;18.5;34.0;38.0;9.0;9.6;14.0;15.5;12.5;13.5;27.0;30.0;6.8;7.2;11.0;12.0;18.5;19.5;27.0;48.0;40.0;120.0;48.0;55.0;34.0;40.0;48.0;55.0;25.0;28.0;36.0;40.0;25.0;1000.0
35512790;2026-04-23;15:00:00;PORTUGAL 1;Casa Pia;Braga;3.0;3.35;1.43;1.5;1.44;1.49;3.0;3.35;1.11;1.13;7.2;10.5;6.0;6.6;1.65;1.67;4.2;4.4;2.48;2.54;1.18;1.2;1.3;1.32;12.0;15.5;1.07;1.09;3.4;3.75;1.37;1.41;1.89;1.96;2.04;2.12;1.33;1.36;3.75;4.1;1.12;1.14;8.0;9.4;2.04;2.16;1.87;1.96;12.0;14.0;6.8;7.4;20.0;30.0;16.0;200.0;16.0;970.0;15.0;48.0;9.0;9.6;14.5;95.0;8.6;9.4;20.0;24.0;8.8;9.2;14.5;100.0;15.5;170.0;28.0;40.0;14.5;18.5;14.5;16.5;15.0;120.0;10.0;11.5;8.4;1000.0
35458434;2026-04-23;15:00:00;SPAIN 1;Rayo Vallecano;Espanyol;2.96;3.1;1.47;1.51;1.41;1.44;3.3;3.5;1.09;1.12;9.8;11.5;2.16;2.18;4.0;4.1;3.4;3.45;1.32;1.34;1.84;1.87;1.4;1.42;10.5;12.0;1.09;1.11;3.4;3.5;1.4;1.42;1.8;1.84;2.2;2.26;1.29;1.32;4.1;4.4;1.1;1.12;9.4;10.5;1.93;2.0;2.0;2.08;10.5;11.5;11.5;13.0;18.0;19.5;24.0;26.0;8.0;8.4;11.5;12.5;15.0;16.5;22.0;25.0;7.0;7.4;10.0;11.0;24.0;27.0;38.0;44.0;40.0;130.0;55.0;70.0;48.0;55.0;70.0;85.0;18.5;20.0;55.0;65.0;22.0;1000.0
35458425;2026-04-23;16:30:00;SPAIN 1;Oviedo;Villarreal;3.15;3.35;1.43;1.47;1.46;1.49;3.05;3.2;1.11;1.13;8.8;9.6;3.85;3.95;2.14;2.16;3.55;3.6;1.86;1.88;1.33;1.35;1.38;1.4;12.5;14.5;1.07;1.09;3.8;4.0;1.33;1.36;1.94;1.99;2.0;2.06;1.36;1.38;3.6;3.8;1.13;1.15;7.8;8.4;1.82;1.88;2.14;2.22;12.5;13.5;9.0;9.6;16.5;18.0;34.0;75.0;13.5;14.0;24.0;28.0;10.0;10.5;26.0;46.0;7.4;7.8;14.5;15.5;12.0;13.0;48.0;55.0;38.0;100.0;34.0;38.0;20.0;23.0;24.0;26.0;40.0;48.0;14.5;16.5;90.0;1000.0
